line_id,reference,hypothesis
m04-081-01,"to the conductor , demanding an explanation .","to the conductor , demanding an explanation ."
m04-081-02,"But nonplussed , the conductor was . A","But now plussed , the conductor was . It"
m04-081-03,"good man , mind ; knew his job . But out of","good man , mind ; knew his job . But out of"
m04-081-04,depth in this particular instance . Fingered,depth in this particular instance . Figered
m04-081-05,his ticket-punch nervously . Peered out of,his ticket-punch previously . Record out of
m04-081-06,the window . Went and consulted the driver .,the window . Went and consulted the driver
m04-081-07,""" Where are we going ? "" he echoed Cadwallader .",""" Where are we going ? "" he echoed Cadwalladder ."
m04-081-09,""" But something very untoward has",""" But something very untoward has"
m04-093-00,"Immersed in the Dinas Advertiser , was the","Immersed in the Dinas Advertiser , was the"
m04-093-01,"Rev. Edwards . Now he put down his paper ,","Rev. Edwards . Now he put down his paper ,"
m04-093-02,"folded it , and glanced idly out of the","folded it , and glanced idly out of the"
m04-093-03,"window . Looked again , eyes starting from","window . Looked again , eyes starting from"
m04-093-04,"his head . "" God bless my immortal soul , ""","his head . "" God bless my immortal soul , """
m04-093-05,"he cried . "" Never mind your immortal","he cried . "" Never mind your immortal"
m04-093-06,"soul , "" said Megan Thomas tartly .","sord , "" said Megan Thomas hardly ."
m04-093-07,""" Here we are traversing the heavens at the",""" Here we are traversing the heavens at the"
m04-093-08,very moment when we should be,very moment when we should be
m04-093-09,running into Llangrwl bus station .,running into Llangrwl bus station .
m04-100-00,And no one doing the first thing about,And no one doing the first thing about
m04-100-01,"it . "" Stung , the conductor was . "" What you","it . "" Strong , the conductor was . "" What you"
m04-100-02,"expect me to do ? "" he inquired , bitter .","expect me to do ? "" he inquired , bitter ."
m04-100-03,""" Radio Flying Control at London Airport ,",""" Radio Flying Control at London D. import ,"
m04-100-05,"us nowhere , "" boomed the Rev. Edwards .","us nowhere , "" boomed the Rev. Edwards ."
m04-100-06,""" It 's all very well , "" commented",""" It's all very well , "" commented"
m04-100-07,Mr. Hayball from the back seat .,Mr. Hayball from the back seat .
m04-107-00,""" But Eth and me wanted to be",""" But Ells and me wanted to be"
m04-107-01,"at the Youth Hostel before dark . ""","at the Youth Hotel before dark . """
m04-107-02,Morfydd Owen was silent . But she,Morfydd Owen was silent . But she
m04-107-03,looked down at the fast-disappearing,looked down at the fast-disappearing
m04-107-04,"earth , and it seemed to her that she","earth , and it seemed to her that she"
m04-107-05,would never see her Dai again . And,would never need here their Dai again . And
m04-107-06,though half an hour ago she had,though half an hour ago she had
m04-107-07,regarded this possibility with,regarded this possibility with
m04-107-08,"fortitude , it now filled her with","fortitude , it now filled her with"
m04-107-09,dismay . Quietly she began to,dismay . Quietly she began to
m04-113-00,"Dai , meanwhile , was pedalling","Dai , meanwhile , was recalling"
m04-113-01,furiously on the road . Not a sign of,furiously on the road . Not a sign of
m04-113-02,the bus . He passed The Traveller's,the bus . He passed The Traveller's
m04-113-03,"Joy . At last he caught up Mr. Roberts ,","Joy . At last he caught up Mr. Roberts ,"
m04-113-04,walking very dogged towards Llangrwl .,walking very dogged towards Llangrwl .
m04-113-05,""" Afternoon , Mr. Roberts , "" he called , polite ,",""" Afternoon , Mr. Roberts , "" he called , polite ,"
m04-113-06,as he shot past . His spirits were rising .,as he shot part . His spirits were rising
m04-113-07,He had seen no sign of an accident .,He had seen no sign of an accident .
m04-113-08,Therefore Mr. Roberts must have been mistaken .,Therefore Mr. Roberts must have been mistaken .
m04-113-09,He would find the bus safe and sound in,He would find the bus safe and round in
m04-113-10,"Llangrwl , and his dear Morfydd quietly","Llangrwl , and his dear Morfydd quietly"
m04-123-00,But disappointment awaited him . A,But disappointment awaited him . A
m04-123-01,"restive queue of people in the bus station ,","sentive queue of people in the bus station ,"
m04-123-02,waiting to be transported to Dinas . And,waiting to be transported to Dinas . And
m04-123-03,"when he went to Morfydd's house , all","when he went to Morfydd's house , all"
m04-123-04,"he found was Morfydd's mam , working","he found was Morfydd's man , working"
m04-123-05,"herself up proper ... Getting dark , now .","herself eye proper ... Getting dark , now"
m04-123-06,The conductor switched on the lights .,The conductor switched on the lights .
m04-123-07,The beleaguered passengers peered out of,The beleaguised passengers revered out of
m04-123-08,"the windows . Little to be seen , only a","the windows . Little to be seen , only a"
m04-123-09,"few lone stars , and the distant earth","few home stars , and the distant earth"
m04-123-10,brooding in her shroud of mist .,brooding in her shroud of mist .
m04-131-00,"Megan Thomas sat tight-lipped , nursing","Megan Thomas not tight-lipped , running"
m04-131-01,the sleeping Cadwallader . Driver and,the sleeping ladwallader . Driver and
m04-131-02,conductor peered ahead into nothingness .,conductor peeered ahead into nothingness .
m04-131-03,On the back seat Stan Hayball embraced,On the back neat Stan Hayball embraced
m04-131-04,his Eth . Morfydd thought of Dai . The,his Eth. Morfydd thought of Dai's The
m04-131-05,"Rev. Edwards , standing at the front ,","Rev. Edwards , standing at the front ,"
m04-131-06,"looked at his forlorn flock . "" What","looked at his forlorn flock . "" What"
m04-131-08,he suggested hopefully .,he suggested hopefully .
m04-138-01,sank . If the Welsh found the situation,rank . If the Welsh found the situation
m04-138-02,"too desperate for singing , then the","too desperate for singing , then the"
m04-138-03,"situation , he realised , must be desperate","situation , he realised , must be desperate"
m04-138-04,indeed . But suddenly they were roused,indeal . But suddenly they were roused
m04-138-05,from their lethargy . Something was,from their lethurgy . Something was
m04-138-06,"approaching , faster , faster , a tearing","approaching , faster , faster , a bearing"
m04-138-07,hurrying blur that was past and gone,hurrying blur that was past and gone
m04-138-08,"in a moment , followed by a great","in a moment , followed by a great"
m04-138-09,rush of sound . They waved frantically .,rush of round . They waved frantically .
m04-145-00,"But the jet aircraft was already miles away ,","But the jet aircraft was already miles away ,"
m04-145-01,"swinging down to the darkening earth . "" It","swinging down to the darkening earth . "" It"
m04-145-02,"passed me at fifty thousand feet , sir . It was","passed me at fifty thousand feet , sir . It was"
m04-145-03,"climbing steadily . "" Group Captain Llewelyn Jones , Officer","climbing steadily . "" Group Captain Llewelyn Jones , Officer"
m04-145-04,"Commanding R.A.F. Station , Dinas , looked keenly at the","Commanding R.A.A. Station , Dinne , Hooked keenly at the"
m04-145-05,Flying Officer who had burst so unceremoniously into his,Flying Officer who had burst so unceremoniously into his
m04-145-06,"office . "" And what did it look like , Broughtons ? Some","office . "" And what did it look like , Broughtons ? Some"
m04-152-01,""" Well , actually , sir , it looked like - like a bus .",""" Well , actually , sir , it looked like - like a bus ."
m04-152-02,"A single-decker , "" he elaborated . Daggers , the","A single-decker , "" he elaborated . Daggers , the"
m04-152-03,"Group Captain looked . "" Broughtons , "" he said silkily .","Group Captain looked . "" Broughtons , "" he said silly ."
m04-152-04,""" Didn't they teach you at Cranwell that buses are",""" Didn't they teach you at Cranwell that basses are"
m04-152-06,"Buses crawl . "" Very pale , Broughtons was . But","Buses crawl . "" Very pale , Broughtons was . But"
m04-164-01,"Waving . "" Like gimlets , the Station Commander's eyes .","Waving . "" Like gimlets , the Station Commander's eyes ."
m04-164-02,""" Did you see the indicator board ? "" "" Yes , sir . "" "" And",""" Did you see the indicator board ? "" "" Yes , sir . "" "" that"
m04-164-03,"what did it say ? Mystery Tour ? "" Oh , very caustic , that","what did it say ? Mystery Tour ? "" Oh , very caustic , that"
m04-164-04,"Group Captain . But Broughtons stood his ground . "" No ,","Group Captain . But Broughtons stood his ground . "" No ,"
m04-164-06,"back in his chair . "" I see . So you met a bus at","back in his chair . "" I see . So you met a bus at"
m04-180-00,"All lit up . Full of people waving as you went past . ""","All lit up . Full of people waving as your went past . """
m04-180-01,"Suddenly he crouched forward . "" Broughtons , if I thought","Suddenly he crouched forward . "" Broughtons , if I thought"
m04-180-03,I 'd have you court-martialled . But I know there,I'd have gone court - mortialled . But I know there
m04-180-04,"isn't , "" he ended sadly . "" I tried to read the","isn't , "" he ended sadly . "" I tried to read the"
m04-180-05,"registration number , sir . But it was getting dark . ""","registration number , sir . but it was getting dark . """
m04-180-06,He waited . But his commanding officer appeared to,He waited . But his commanding officer appeared to
m04-251-00,""" Then we are saved , "" cried the Rev. Edwards .",""" Then we are saved , "" cried the Rev. Edwards ."
m04-251-01,"Shyly , Morfydd Owen produced a block of","Shyly , Morfydd Owen produced a block of"
m04-190-00,"He saluted , and left the presence , very crestfallen ...","He saluted , and left the presence , very crestfallen ... ."
m04-190-01,"Time passed . The bus climbed , and went quietly","Time passed . The bus climbed , and went quietly"
m04-190-02,into orbit . Time passed . The Rev. Edwards' pulpit,into orbit . Time passed . The Rev. Edwards' pulpit
m04-190-03,remained empty . And so did the arms of Dai,remained empty . And so did the arms of Dai
m04-190-04,"Pugh . How could they be otherwise , when his","Pugh . How could they be otherwise , when his"
m04-190-05,beloved was circling the Poles at three-and-a-,beloved was circling the Poles at three-and-a-
m04-190-06,"quarter-hour intervals , regular as clockwork ?","quarter-hour intervals , regular as clockwork ?"
m04-190-07,"Time passed . Everyone said , "" Pity about Megan","Time passed . Everyone said , "" Pity about Megan"
m04-190-09,"it was a pity at all ; as , indeed , they didn't .","it was a pity at all ; as , indeed , they didn't"
m04-200-01,Dinas Advertiser . But the London papers ignored,Dinas Advertiser . But the London papers ignored
m04-200-02,the whole affair . Ifor Evans reported his loss,the whole affair . Ifor Evans reported his loss
m04-200-04,"a bus , is it . Very careless . "" That was their","a bus , is it . Very careless . "" That was their"
m04-200-05,"attitude . Now if there 'd been a good old accident ,",attitude . Now if there'd been a good old accident
m04-200-06,they could have measured up the road and,they could have measured up the road and
m04-209-00,But losing a bus ! People were always losing,But losing a bus ! People were always losing
m04-209-01,"things . You 'd be surprised , they said . So it","things . You'd be surprised , they said . So it"
m04-209-02,"seemed , for a time , that the whole affair would","seemed , for a time , that the whole affair would"
m04-209-03,be written off as one of those unexplained,be written off as one of those unexplained
m04-209-04,"mysteries , like the Marie Celeste . Then things","mysteries , like the Marie Celeste . Then things"
m04-209-05,began to happen ... But what about the voyagers ?,began to happen ... But what about the voyagers ?
m04-216-00,"Well , the Rev. Edwards had taken command . "" Our","Well , the Rev. Edwards had taken command . "" Our"
m04-216-01,"position , "" he said , "" is somewhat analogous to","position , "" he said , "" is somewhat analogous to"
m04-216-02,that of a castaway on a desert island . Now,that of a castaway on a desert island . Now
m04-216-03,what does such a person do ? He signals,what does such a person do ? He signals
m04-216-04,his position by lighting bonfires or hoisting a,his position by lighting bonfires or hoisting a
m04-216-05,flag on a palm tree . And he tries to ensure,flag on a palm tree . And he tries to ensure
m04-222-00,""" Can't go lighting bonfires on this bus , """,""" Can't go lighting bonfires on this bus , """
m04-222-01,"the conductor said firmly . "" Contrary to the","the conductor said firmly . "" Contrary to the"
m04-222-03,"the minister . "" No , we have another way of signalling","the minister . "" No , we have another way of signalling"
m04-222-04,our position . The driver must sound his horn,our position . The driver must sound his horn
m04-222-05,"continuously . "" Gave him a look , the driver did .","continuously . "" Grave him a look , the driver did"
m04-222-06,""" Where you think we are ? "" he asked rudely .",""" Where you think we are ? "" he asked rudely ."
m04-231-00,""" Do as I say , driver . "" Very stern , the reverend",""" Do of I say , driver . "" Very stern , the revered"
m04-231-01,gentleman was . So the driver peep-peeped as,gentleman was . So the driver peep-pepped as
m04-231-02,"through empty space . "" Thank you , "" the Rev.","through empty space . "" Thank you , "" the Rev."
m04-231-03,"Edwards said courteously . "" Secondly , we must","Edwards said controversly . "" Secondly , we must"
m04-231-04,"pool and ration our supplies of food , if any . ""","pool and ration our supplies of food , if any . """
m04-238-00,""" Now , who has any food ? "" he asked hopefully .",""" Now , who has any food ? "" he asked hopefully ."
m04-238-02,""" Mr. Price , I think you may be able to help us here , """,""" Mr. Rice , I think you may be able to help us here , """
m04-238-03,said the Rev. Edwards . Price shook his head .,said the Rev. Edwards . Price shoot his head .
m04-238-04,""" Intended for Plas Newydd , this lot is . Paid for ,",""" Intended for Play Newydd , Philot is . Paid for ,"
m04-238-05,"too . "" He folded his arms protectively over the basket .","too . "" He folded his arms # so he truly over the last Sub."
m04-246-00,"Mutinous dog , thought the Rev. Edwards , who hadn't","Mormons dog , thought the Rev. Edwards , who hadn't"
m04-246-01,enjoyed himself so much since reading Treasure,enjoyed himself so much since reading treasure
m04-246-02,"Island . "" What have you got in that basket , Price ? ""","is lunch . "" What have you got in that basketball , Price ? """
m04-246-03,"he roared . Quelled , Mr. Price pulled out a grocery","he moved . Quelled , Mr. Price pulled out a grocery"
m04-246-04,"list , pushed his glasses up on his nose , and","list , pushed his glassed up on his more , and"
m04-246-05,"began to read . "" Six loaves , four pounds butter ,","began to read . "" Six looms , four pounds better ,"
m04-246-06,"two pounds marge , one tin pineapple , one York ham . ""","two pounds range , one tin pineapple , one York ham . """
n04-000-00,"Bertram's face was grim . "" You think it was the Snort ,","Bertram's face was grim . "" You think it was the snort ,"
n04-000-01,"don't you ? "" John gave a short laugh . "" I did , "" he","don't you ? "" John gave a short laugh . "" I did , "" he"
n04-000-02,"said ; "" but I 'd better stop thinking that now .","said ; "" but I'd better stop thinking that now ."
n04-000-03,"Pericles is fitted with an identically similar one . ""","Pericles in fitting with an identically similar one . """
n04-000-04,""" So there you are , my dear . "" Peggy 's eyes filled",""" So there you are , my dear . "" Peggy's eyes filled"
n04-000-05,"with tears . "" It 's so unfair , "" she said .","with tears . "" It's so can fair , "" she said ."
n04-009-00,""" That little beast Robbie Munyard spent six",""" That little beast Robbie Munyard spent six"
n04-009-01,months ashore while Pericles was refitting in the,months ashore with its Pericles was refitting in the
n04-009-02,dockyard and now that she 's ready for sea he goes,dockyard and more that she's ready for sea he goes
n04-009-03,sick . Just because he 's an Honourable he can do,sick . Just because he's an Honourable he can do
n04-009-04,"what he likes . Anyway , why pick on you to succeed","what he likef . Anyway , why pick on you to succeed"
m06-019-00,"Though your wings and your scars are new ,","Though your wings and your scars are new ,"
m06-019-01,you may join us . ' ' I am Lily-yo . We three,"you may join us , ' I am Lily-yo . We three"
m06-019-02,are humans . You are only flymen . We will,are humans . You are only flymen . We will
m06-019-03,not join you . ' The Captives grunted in boredom .,not join your ' The Captives grunted in boredom .
m06-019-04,The Chief Captive spoke again . ' Always this,The Chief Captive spoke again . ' Always this
m06-019-05,talk from you of the Heavy World ! You have,talk from you of the Heavy World ! You have
m06-019-06,"joined us . You are flymen , we are human . You","joined us . You are flymen , we are human . You"
n06-148-00,I saw several men running down towards,I saw several men running down towards
n06-148-02,As the nearest of them came round the,As the nearest of them came round the
n06-148-03,"shack , his rifle at the ready , I saw it was Nick","shack , his rifle at the ready , I saw it was Nick"
n06-148-04,"Dowd , still wearing his blue check shirt . He","Dowd , still wearing his blue check shirt . He"
n06-148-06,"come 2a-calling , "" I said . "" Can't see no reason","come 2a-calling , "" I said . "" Can't see no reason"
n06-148-07,"for calling , "" he said . "" Still long as you 're here","for calling , "" he said . "" Still long as you're here"
n06-148-08,you may as well stay a while .,you may as well stay a while .
n06-156-01,one of the miners who 'd come along with,one of the miners who'd come along with
n06-156-02,Nick Dowd took our horses off to water .,Nick Dowd took our horses off the water .
n06-156-03,We followed Nick Dowd into the shack .,We followed Nick Dowd into the shack .
n06-156-04,They 'd rigged up a stove of sorts and on it,They'd rigged up a stove of sorts and on it
n06-156-05,a huge blackened coffee-pot steamed . Other,a huge blackened coffee-pot steamed . Other
n06-156-06,miners followed in at our heels . Nick Dowd,miners followed in at our heels . Nick Dowd
n06-156-07,found us a couple of boxes to sit on .,found us a couple of boxes to sit on .
n06-163-00,A small man in bib overalls and a battered,A small man in bib overalls and a battered
n06-163-01,"Derby hat fussed around the stove . "" 2Ain't","Derby hat fussed around the stove . "" 2Ain't"
n06-163-03,"comforts , "" said Dowd . He introduced the men","comforts , "" said Dowd . He introduced the men"
n06-163-04,"who 'd come in as Roper Smith , Shorty , Mick","who'd come in as Roper Smith , Shorty , Mick"
n06-163-06,the little hombre in big overalls . Very soon he,the little hombre in big overalls . Very soon he
n06-163-07,had tin mugs filled with hot black coffee,had tin mugs filled with hot black coffee
n06-163-08,sweetened with molasses for all and for us,sweetened with molasses for all and for us
n06-169-02,"as of now , apart from a few sacks of gold","as of now , apart from a few sacks of gold"
n06-169-03,"dust . "" He winked at his partners . They all","dust . "" He winked at his partners . They all"
n06-169-05,we 'd finished and I 'd rolled a cigarette,we'd finished and I'd rolled a cigarette
n06-169-07,you came in that 2somep'n happened last,you came in that 2somep'n happened last
n06-175-01,"After you 'd left the meeting , mister "" - I","After you'd left the meeting , mister "" - I"
n06-175-03,down William Appleton outside the Palace,down William Appleton outside the Palace
n06-175-04,"with a shotgun . "" I paused and watched my","with a shotgun . "" I paused and watched my"
n06-175-05,words affect them in their different ways .,words affect them in their different ways .
n06-175-07,""" It 2jest about leaves everything wide open",""" It 2jest about leaves everything wide open"
n06-175-08,"for Mr. Pell and his bunch , "" observed","for Mr. Pell and his bunch , "" observed"
n06-182-00,The rest of the men there said nothing but,The rest of the men there said nothing but
n06-182-01,you could see they were hard hit . They were,you could see they were hard it . They were
n06-182-02,simple men who knew a lot maybe about,simple men who knew a lot maybe about
n06-182-03,digging for gold but were babes in arms,digging for gold but were babes in arms
n06-182-04,when it came to dealing with owlhooters and,when it came to dealing with owlhooters and
n06-182-05,desperadoes like Pell and Fenton and the,desperadoes like Pell and Fenton and the
n06-182-06,"rest . "" I guess we 'd better hold onto the gold","rest . "" I guess we'd better hold onto the gold"
n06-182-07,"right 2hyar , Nick , "" said the Sodbuster .","right 2hyar , Nick , "" said the Sodbuster ."
n06-186-01,"better . "" Surprisingly Dan Maffrey came in at","better . "" Surprisingly Dan Maffrey came in at"
n06-186-03,sure asking for trouble . They 'll be on your,sure asking for trouble . They'll be on your
n06-186-04,necks before you can say ' knife ' . It wouldn't,necks before you can say ' knife ' . It wouldn't
n06-186-06,at gun point either . They 've done it before,at gun point either . They've done it before
n06-186-07,"and got away with it . ""","and got away with it . """
n06-194-00,""" You 're 2durned tootin' , mister , "" said the man",""" You're Zdurned tootin' , mister , "" said the man"
n06-194-01,"called Roper Smith . "" We 've got five rifles among","called Roper Smith . "" We've got five rifles among"
n06-194-02,us and a few six-shooters . But most of us,us and a few six-shooters . But most of us
n06-194-03,2ain't 2eddicated in shootin' . It 'd be a,2ain't 2eddicated in shootin' . It'd be a
n06-194-05,"on getting your gold to the bank , then we 'll","on getting your gold to the bank , then we'll"
n06-201-01,with Dan Maffrey's aim to avenge himself,with Dan Maffrey's aim to avenge himself
n06-201-02,on the Fenton bunch but still it was a,our the Fenton bunch but still it was a
n06-201-03,"handsome offer so I chimed in too . "" That","handsome offer so I chimed in too . "" That"
n06-201-05,"and hold up the stage , it 'll be a couple or","and hold up the stage , it'll be a couple or"
n06-201-06,"three of them , no more . I reckon we can deal","three of them , no more . I reckon we can deal"
m06-031-00,"' But we - ' ' Stop your stupid talk , woman ! ' ' We are - '","' But we - ' Stop your stupid talk , woman ! ' We are - '"
m06-031-01,"' Be silent , woman , and listen , ' Band Appa Bondi said .","' Be silent , woman , and listen , ' Bond Appa Bondi said"
m06-031-03,things we will tell you . All who make the journey from,things we will tell you . All who make the journey from
m06-031-04,the Heavy World become changed . Some die . Most live,the Heavy world become changed . Some die . Most live
m06-031-05,and grow wings . Between the worlds are many strong,and grow wings . Between the worlds are many strong
m06-042-00,"When you come here , when you come to the True","When you come here , when you come to the True"
m06-042-02,tigerfly is not a tigerfly until it changes . So humans,rigerfly is not a tigerfly until it changes . So humans
m06-042-03,"change . ' ' I cannot know what he says , ' Haris said","change . "" I cannot know what he says , ' Maris said"
m06-042-04,"stubbornly , throwing himself down . But Lily-yo and","stubbornly , throwing himself down . But Lily - yo and"
m06-048-03,it dies when it changes into a tigerfly . ' ' You are still,it dies when it changes into a tigerfly . ' ' You are still
m06-048-04,"young , ' said the Chief Captive . ' You begin newly here .","young , said the Chief Captive . You begin newly here ."
m06-048-06,each other . In their flight from the 4wiltmilt they had,each other . In their flight from the twiltmilt they had
m06-048-07,heedlessly thrown down their souls .,heedlessly thrown down their souls .
m06-056-00,Haris had trampled on his . It was unthinkable !,Moris had trampled on his . It was unthinkable !
m06-056-01,' You see . You needed them no more . You are still,You see . You needed them no more . You are still
m06-056-02,young . You may be able to have babies . Some of those,young . You may be able to have babies . Some of those
m06-056-03,babies may be born with wings . ' The Captive with,babies may be born with wings . ' The Captive with
m06-056-04,"the boneless arms added , ' Some may be born wrong ,","the boneless arms added , ' Some may be born wrong ,"
m06-056-05,as we are . Some may be born right . ',as we are . Some may be born right . '
m06-067-00,' You are too foul to live ! ' Haris growled . ' Why are,' You are too foul to live ! ' Harris growled . ' Why are
m06-067-01,"you not killed ? ' ' Because we know all things , ' the","you not killed ! ' ' Because we know all things , ' the"
m06-067-02,Chief Captive said . Suddenly his second head roused,Chief Captive said . Suddenly his second head roused
m06-067-03,"itself and declared , ' To be a good shape is not all","itself and declared , ' To be a good shape is not all"
m06-067-04,in life . To know is also good . Because we cannot move,in life . To know is also good . Because we cannot move
m06-067-05,well we can - think . This tribe of the True World,well we can - think . This tribe of the True World
m06-076-00,So it lets us rule it . ' Flor and Lily-yo,So it lets us rule it . ' Flor and Lily-yo
m06-076-01,muttered together . ' Do you say that you poor,muttered together . ' Do you say that you poor
m06-076-03,at last . ' We do . ' ' Then why are you captives ? ',at last . ' We do . ' ' Then why are you captives ? '
m06-076-04,"The flyman with ear lobes and thumbs connected ,","The flyman with ear lobes and thumbs connected ,"
m06-076-05,"making his perpetual little gesture of protest ,","making his perpetual little gesture of protest ,"
m06-083-00,"' To rule is to serve , woman . Those who bear power","To rule is to serve , woman . those who bear power"
m06-083-01,are slaves to it . Only an outcast is free . Because,are slaves to it . Only an outcast is free . Because
m06-083-02,"we are Captives , we have the time to talk and","we are Captives , we have the time to talk and"
m06-083-03,think and plan and know . Those who know,think and plan and know . Those who know
m06-083-04,command the knives of others . ' ' No hurt will,"command the knives of others . "" ' No hurt will"
m06-083-05,"come to you , Lily-yo , ' Band Appa Bondi added .","come to you , Lily-yo , ' Bond Appa Bondi added"
m06-083-06,' You will live among us and enjoy your life free,You will live among us and enjoy your life free
m06-091-00,' No ! ' the Chief Captive said with both mouths .,' No ! ' the Chief Captive said with both months .
m06-091-01,"' Before she can enjoy , Lily-yo and her companion","Before she can enjoy , Lily-yo and her companion"
m06-091-02,Flor - this other man creature is plainly useless -,For this other man creature is plainly useless -
m06-091-03,must help our great plan . ' ' The invasion ? ' Bondi,"must help our great plan . "" The invasion ? "" Bondi"
m06-091-06,and its savage life are still fresh in you .,and its savage life are still fresh in you .
m06-098-00,We need such memories . So we ask you to go,We need such memories . So we ask you to go
m06-098-01,back there on a great plan we have . ' ' Go back ? ',"back there on a great plan we have . "" ' Go back ? '"
m06-098-02,gasped Flor . ' Yes . We plan to attack the Heavy,gasped Flor . Yes . We plan to attack the Heavy
m06-098-03,World . You must help to lead our force . ' The long,World . You must help to lead our force . ' The long
m06-098-04,"afternoon of eternity wore on , that long golden road","afternoon of eternity were on , that long golden road"
m06-098-05,of an afternoon that would somewhere lead to,of an afternoon that would somewhere lead to
m06-106-00,"Motion there was , but motion without event - except","Motion there was , but motion without event - except"
m06-106-01,for those negligible events that seemed so large to,for those negligible event that seemed so large to
m06-106-02,"the creatures participating in them . For Lily-yo , Flor","the creatures participating in them . For Lily-yo , Flor"
m06-106-03,and Haris there were many events . Chief of these was,and Harris there were many events . Chief of these was
m06-106-04,that they learned to fly properly . The pains associated,that they learned to fly properly . The pains associated
m06-106-05,with their wings soon died away as the wonderful,with their wings soon died away as the wonderful
m06-106-06,new flesh and tendon strengthened . To sail up in the,new flesh and tendon strengthened . To sail up in the
m06-106-07,light gravity became an increasing delight - the ugly,light gravity became an increasing delight - the ugly
m06-106-08,flopping movements of flymen on the Heavy World,flopping movement of flymen on the Heavy world
n01-000-00,Alastair was a bachelor . All his life he had,Alastair was a bachelor . 1/2 ) his life he had
n01-000-01,been inclined to regard women as something,been inclined to regard women as something
n01-000-02,which must necessarily be subordinated to his,which must necessarily be in bordered to his
n01-000-03,career . Now he realised that he was entrusting not only,career . Now he realised that he was outstanding not only
n01-000-04,"his own life , but Geoffrey's as well , to a strange girl","his own wife , but Geoffrey's is well , to a change girl"
n01-000-05,whom he had never met and on whom after no more,whom he had never met and on whom after no more
n01-000-06,than a couple of telephone calls he was,than a couple of telephone calls he was
n01-009-02,evening - and I shall look forward to meeting you,evening - and I shall look forward to unwriting you
n01-009-03,"both at midnight . "" They might have been","both at midnight . "" They might have been"
n01-009-04,arranging a supper party . Then she rang off .,arranging a supper party . Then see long of
n01-009-05,Alastair admitted that never in a not altogether,Masters admitted that never in a not altogether
n01-009-06,uneventful life had he come across a girl who,uneventful life had he come across a girl who
n01-009-07,sounded so charming and appeared to be so,sounded so charming and appeared to be so
n01-004-00,It was a novel experience . Alastair was,It was a novel experience . Alasker was
n01-004-01,quite unable to explain why he should feel,greate unable to explain why he should feel
n01-004-02,so much confidence in her . Once again,to remain confidence in her . Once again
n01-004-03,she checked back her instructions . It was,she checked back her instructions . It was
n01-004-04,obvious that she did not fail to appreciate the,obvious that she did not feel to appreciate the
n01-004-05,faith which he was placing in her and,faith which he was placing in her and
n01-004-06,was prepared to accept the responsibility .,was prepared to accept the responsibility .
n01-020-00,For some reason the orderlies had forgotten,For some reason the orderlies had forgotten
n01-020-01,to switch on the lights ; there was no colour -,"to switch on the lights , there was no colour-"
n01-020-02,physical features were distinguishable solely by,physical features were distinguishedable solely by
n01-020-03,gradations of silvery greyness . Even the snow-,gradations of silvery greyness . Even the snow-
n01-020-04,"capped summit of Mont Blanc , seven miles","capped summit of Mount Blanc , seven miles"
n01-020-05,"below , was not recognisable among the host","below , was not recognisable among the host"
n01-020-06,of lower peaks . The screen of the air-to-air,of lower peaks . The screen of the air-to-air
n01-020-07,radar glowed . Occasionally minute spots,radar glowed . Occasionally minute spots
n01-020-08,"flickered across its surface , but there was","flickered across its surface , but there was"
n01-031-00,In the exceptional clarity he was even able to,In the exceptional charity he was even able to
n01-031-01,make a direct comparison between the radar,make a direct comparison between the radar
n01-031-02,image and the ground itself . Ahead lay the,image and the ground itself . Ahead bay the
n01-031-03,"Plain of Lombardy ; to the right , Turin ; to the","Plain of Lombardy ; to the right , Turin ; to the"
n01-031-04,"left , Milan . The directional angle of the","left , Mikan . The directional angle of the"
n01-031-05,scanner could be adjusted to cover any,scanner could be adjusted to cover any
n01-031-06,particular area within its range . Geoffrey,particular area within its range . Geoffrey
n01-031-08,ground immediately ahead .,ground immediately ahead .
n01-045-00,"Now , as Alastair reduced the thrust , the","Now , as Alastair reduced the thrust , the"
n01-045-01,pitch changed as the nose of the aircraft,pitch changed as the nose of the aircraft
n01-045-02,dipped slightly . The needle of the speed,ripped slightly . The needle of the speed
n01-045-04,"before coming to rest at 5.0 . "" We 're a bit","before coming to rest at 5.0 . "" We're a bit"
n01-045-07,smiled . Alastair talked of running in when,smiled . Vladimir talked of running in when
n01-045-08,they were still more than four hundred,they were still more than four hundred
n01-045-09,miles from their destination .,miles from their destination .
n01-036-00,"He was able to pick out towns , unrecognisable to the","He was able to pick out towns , unrecognisable to the"
n01-036-01,"naked eye , obscured by the ground haze which even","naked eye , obscured by the ground haze which even"
n01-036-02,on the clearest night limited angular vision . He glanced,on the nearest night limited angular vision . He glanced
n01-036-03,at the speed recorder . It seemed almost incredible that,at the speed recorder . It seemed almost incredible that
n01-036-04,the tiny white figure of 8.5 against which the needle,the tiny white figure of 8.5against which the needle
n01-036-05,was resting could really mean hundreds of knots .,was resting could really mean hundreds of knots .
n01-052-00,They were nearing Modena . Geoffrey focused the radar scanner,They were nearing Modena . Geoffrey focused the radar scanner
n01-052-08,by special helicopter from the Horse Guards,by special helicopter from the Horse Guards
n01-057-00,Geoffrey set himself to consider the,Geoffrey and himself to consider the
n01-057-01,movements of the Bentley . It had passed,movements of the Bentley . It had passed
n01-057-02,him at the temporary bridge over the,Union and the temporary bridge over the
